trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Mountains,Hans Zimmer,1528611,german soundtrack,0.304,0.0585,9.0,-16.949,0.0,0.0351,0.59,0.928,0.0982,0.0371,119.975,audio_features,0Sg3UL7f40ulmTh0Xwr6qY,spotify:track:0Sg3UL7f40ulmTh0Xwr6qY,https://api.spotify.com/v1/tracks/0Sg3UL7f40ulmTh0Xwr6qY,https://api.spotify.com/v1/audio-analysis/0Sg3UL7f40ulmTh0Xwr6qY,219093.0,4.0
My Gospel,Charlie Puth,143148,pop,0.7,0.654,6.0,-7.126,0.0,0.297,0.27,0.0,0.0768,0.494,112.039,audio_features,1RdykyqZss4snJH9e58CQJ,spotify:track:1RdykyqZss4snJH9e58CQJ,https://api.spotify.com/v1/tracks/1RdykyqZss4snJH9e58CQJ,https://api.spotify.com/v1/audio-analysis/1RdykyqZss4snJH9e58CQJ,210867.0,4.0
Nandemonaiya - movie edit.,RADWIMPS,196906,j-pop,0.395,0.331,11.0,-8.439,1.0,0.0307,0.404,0.00046,0.0964,0.296,112.114,audio_features,6RM5WJcShIHsxrja11M1iK,spotify:track:6RM5WJcShIHsxrja11M1iK,https://api.spotify.com/v1/tracks/6RM5WJcShIHsxrja11M1iK,https://api.spotify.com/v1/audio-analysis/6RM5WJcShIHsxrja11M1iK,196907.0,5.0
New Light,John Mayer,76660,neo mellow,0.826,0.694,7.0,-7.862,1.0,0.0315,0.316,0.0285,0.074,0.852,123.932,audio_features,4T6FWA703h6H7zk1FoSARw,spotify:track:4T6FWA703h6H7zk1FoSARw,https://api.spotify.com/v1/tracks/4T6FWA703h6H7zk1FoSARw,https://api.spotify.com/v1/audio-analysis/4T6FWA703h6H7zk1FoSARw,217427.0,4.0
No Time for Caution,Hans Zimmer,1477626,german soundtrack,0.262,0.224,9.0,-20.231,0.0,0.0463,0.0545,0.95,0.118,0.0388,119.715,audio_features,5aaXqH8rgKZxg61HjECldi,spotify:track:5aaXqH8rgKZxg61HjECldi,https://api.spotify.com/v1/tracks/5aaXqH8rgKZxg61HjECldi,https://api.spotify.com/v1/audio-analysis/5aaXqH8rgKZxg61HjECldi,246272.0,4.0
Nothing New,Fly By Midnight,149268,singer-songwriter pop,0.528,0.829,7.0,-6.594,0.0,0.0682,0.0571,5.9e-06,0.131,0.485,164.088,audio_features,0kCVkMpsv5wtGx71knh4dG,spotify:track:0kCVkMpsv5wtGx71knh4dG,https://api.spotify.com/v1/tracks/0kCVkMpsv5wtGx71knh4dG,https://api.spotify.com/v1/audio-analysis/0kCVkMpsv5wtGx71knh4dG,149268.0,4.0
OOPS,clide,143276,singer-songwriter pop,0.698,0.678,6.0,-6.206,1.0,0.062,0.139,0.0,0.209,0.702,77.481,audio_features,0h5iRnyKnCJKUiYK6FGcOZ,spotify:track:0h5iRnyKnCJKUiYK6FGcOZ,https://api.spotify.com/v1/tracks/0h5iRnyKnCJKUiYK6FGcOZ,https://api.spotify.com/v1/audio-analysis/0h5iRnyKnCJKUiYK6FGcOZ,143277.0,4.0
Ocean - Stripped Acoustic,Andreas Moe,157055,swedish indie pop,0.56,0.393,1.0,-9.924,0.0,0.0305,0.82,0.0,0.0933,0.58,93.036,audio_features,7EyOuJUaogJAAe7Rx6gwtw,spotify:track:7EyOuJUaogJAAe7Rx6gwtw,https://api.spotify.com/v1/tracks/7EyOuJUaogJAAe7Rx6gwtw,https://api.spotify.com/v1/audio-analysis/7EyOuJUaogJAAe7Rx6gwtw,157056.0,4.0
Old Town Road - Remix,Lil Nas X,157066,lgbtq+ hip hop,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,audio_features,2YpeDb67231RjR0MgVLzsG,spotify:track:2YpeDb67231RjR0MgVLzsG,https://api.spotify.com/v1/tracks/2YpeDb67231RjR0MgVLzsG,https://api.spotify.com/v1/audio-analysis/2YpeDb67231RjR0MgVLzsG,157067.0,4.0
Older,Sasha Alex Sloan,184892,alt z,0.628,0.298,11.0,-9.539,1.0,0.0713,0.732,0.0,0.116,0.166,63.762,audio_features,3kywzyEr7V106Un5cDyh12,spotify:track:3kywzyEr7V106Un5cDyh12,https://api.spotify.com/v1/tracks/3kywzyEr7V106Un5cDyh12,https://api.spotify.com/v1/audio-analysis/3kywzyEr7V106Un5cDyh12,184893.0,4.0
Out Of Reach,BoyWithUke,165299,sad rap,0.667,0.7,11.0,-7.379,1.0,0.0481,0.00283,3.72e-05,0.257,0.553,148.118,audio_features,5nXCKYd6lt9gO7AhZPv6Wh,spotify:track:5nXCKYd6lt9gO7AhZPv6Wh,https://api.spotify.com/v1/tracks/5nXCKYd6lt9gO7AhZPv6Wh,https://api.spotify.com/v1/audio-analysis/5nXCKYd6lt9gO7AhZPv6Wh,164510.0,4.0
